-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::_foreach_div_         0.01%     130.000us         0.01%     178.000us      44.500us     111.000us         0.23%     111.000us      27.750us           0 b           0 b           0 b           0 b             4  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     111.000us         0.23%     111.000us      27.750us           0 b           0 b           0 b           0 b             4  
void cutlass_cudnn::Kernel<cutlass_cudnn::reduction:...         0.00%       0.000us         0.00%       0.000us       0.000us      99.000us         0.20%      99.000us       8.250us           0 b           0 b           0 b           0 b            12  
                                    cudaLaunchKernelExC         0.03%     576.000us         0.03%     576.000us       9.600us      91.000us         0.19%      91.000us       1.517us           0 b           0 b           0 b           0 b            60  
                                       c10d::broadcast_         0.01%     145.000us         0.79%      13.799ms       1.380ms       0.000us         0.00%      83.000us       8.300us           0 b           0 b           0 b           0 b            10  
ncclKernel_Broadcast_RING_LL_Sum_int8_t(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us      83.000us         0.17%      83.000us       8.300us           0 b           0 b           0 b           0 b            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      82.000us         0.17%      82.000us       2.278us           0 b           0 b           0 b           0 b            36  
             volta_fp16_s884gemm_fp16_64x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us      78.000us         0.16%      78.000us      13.000us           0 b           0 b           0 b           0 b             6  
void cask_cudnn::computeOffsetsKernel<false, false>(...         0.00%       0.000us         0.00%       0.000us       0.000us      77.000us         0.16%      77.000us       3.208us           0 b           0 b           0 b           0 b            24  
void cudnn::bn_bw_1C11_singleread_spec<__half2, 512,...         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.15%      72.000us      18.000us           0 b           0 b           0 b           0 b             4  
void cudnn::bn_bw_1C11_singleread<__half, 512, true,...         0.00%       0.000us         0.00%       0.000us       0.000us      71.000us         0.14%      71.000us      17.750us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      63.000us         0.13%      63.000us       3.150us           0 b           0 b           0 b           0 b            20  
void cudnn::bn_fw_tr_1C11_singleread_spec<__half2, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.12%      60.000us      15.000us           0 b           0 b           0 b           0 b             4  
void cudnn::bn_fw_tr_1C11_singleread<__half, 512, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      58.000us         0.12%      58.000us      14.500us           0 b           0 b           0 b           0 b             4  
                                    aten::_foreach_add_         0.02%     296.000us         0.09%       1.572ms     196.500us      57.000us         0.12%      57.000us       7.125us           0 b        -284 b           0 b           0 b             8  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      57.000us         0.12%      57.000us      14.250us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         0.85%      14.954ms         0.85%      14.954ms      77.082us      51.000us         0.10%      51.000us       0.263us           0 b           0 b           0 b           0 b           194  
